# Species mapping for selection analysis
# Format: sequence_name	species	level
MOUSE_GPX6_level01_chainA	MOUSE	1.0
MOUSE_GPX6_level02_chainA	MOUSE	2.0
MOUSE_GPX6_level03_chainA	MOUSE	3.0
MOUSE_GPX6_level04_chainA	MOUSE	4.0
MOUSE_GPX6_level05_chainA	MOUSE	5.0
MOUSE_GPX6_level06_chainA	MOUSE	6.0
MOUSE_GPX6_level07_chainA	MOUSE	7.0
MOUSE_GPX6_level08_chainA	MOUSE	8.0
MOUSE_GPX6_level09_chainA	MOUSE	9.0
MOUSE_GPX6_level10_chainA	MOUSE	10.0
MOUSE_GPX6_level11_chainA	MOUSE	11.0
MOUSE_GPX6_level12_chainA	MOUSE	12.0
MOUSE_GPX6_level13_chainA	MOUSE	13.0
MOUSE_GPX6_level14_chainA	MOUSE	14.0
MOUSE_GPX6_level15_chainA	MOUSE	15.0
MOUSE_GPX6_level16_chainA	MOUSE	16.0
MOUSE_GPX6_level17_chainA	MOUSE	17.0
MOUSE_GPX6_level18_chainA	MOUSE	18.0
MOUSE_GPX6_level19_chainA	MOUSE	19.0
MOUSE_GPX6_level20_chainA	MOUSE	20.0
HUMAN_GPX6_level01_chainA	HUMAN	1.0
HUMAN_GPX6_level02_chainA	HUMAN	2.0
HUMAN_GPX6_level03_chainA	HUMAN	3.0
HUMAN_GPX6_level04_chainA	HUMAN	4.0
HUMAN_GPX6_level05_chainA	HUMAN	5.0
HUMAN_GPX6_level06_chainA	HUMAN	6.0
HUMAN_GPX6_level07_chainA	HUMAN	7.0
HUMAN_GPX6_level08_chainA	HUMAN	8.0
HUMAN_GPX6_level09_chainA	HUMAN	9.0
HUMAN_GPX6_level10_chainA	HUMAN	10.0
HUMAN_GPX6_level11_chainA	HUMAN	11.0
HUMAN_GPX6_level12_chainA	HUMAN	12.0
HUMAN_GPX6_level13_chainA	HUMAN	13.0
HUMAN_GPX6_level14_chainA	HUMAN	14.0
HUMAN_GPX6_level15_chainA	HUMAN	15.0
HUMAN_GPX6_level16_chainA	HUMAN	16.0
HUMAN_GPX6_level17_chainA	HUMAN	17.0
HUMAN_GPX6_level18_chainA	HUMAN	18.0
HUMAN_GPX6_level19_chainA	HUMAN	19.0
