Temperature (K),Steps (ps)
383.5,2e-10
391.4,2.69e-10
383.5,2.96e-10
391.5,3.56e-10
384.5,4e-10
385.1,6e-10
393.2,6.61e-10
385.4,6.95e-10
393.3,7.46e-10
385.3,7.88e-10
381.6,8e-10
389.4,9.12e-10
393.6,1e-09
385.8,1.026e-09
393.9,1.176e-09
387.4,1.2e-09
385.0,1.4e-09
384.5,1.6e-09
392.4,1.747e-09
387.7,1.8e-09
380.1,1.883e-09
384.2,2e-09
386.6,2.2e-09
378.9,2.2199999999999998e-09
386.8,2.292e-09
384.9,2.4e-09
386.7,2.6e-09
379.0,2.729e-09
387.0,2.755e-09
379.2,2.786e-09
381.3,2.8e-09
389.2,2.856e-09
381.1,2.8779999999999998e-09
387.7,3e-09
379.8,3.049e-09
387.7,3.079e-09
380.0,3.133e-09
388.0,3.168e-09
385.6,3.2e-09
393.5,3.258e-09
385.5,3.29e-09
386.0,3.4e-09
378.4,3.523e-09
386.4,3.563e-09
394.4,3.577e-09
391.3,3.6e-09
383.6,3.6139999999999997e-09
375.8,3.705e-09
383.9,3.727e-09
391.9,3.753e-09
384.2,3.797e-09
383.5,3.8e-09
392.0,3.981e-09
398.6,4e-09
390.8,4.0139999999999996e-09
382.8,4.027e-09
375.1,4.0569999999999995e-09
383.2,4.1379999999999996e-09
390.9,4.1999999999999996e-09
383.2,4.249e-09
391.2,4.379e-09
394.4,4.4e-09
386.4,4.4319999999999996e-09
385.5,4.6e-09
393.6,4.733e-09
385.7,4.768e-09
384.8,4.8e-09
377.0,4.859e-09
384.9,4.882e-09
392.9,4.922e-09
388.6,5e-09
385.6,5.2e-09
393.5,5.331e-09
385.8,5.374e-09
384.9,5.3999999999999996e-09
386.1,5.6e-09
381.5,5.8e-09
389.4,5.8609999999999995e-09
385.5,6e-09
386.2,6.2e-09
383.9,6.4e-09
391.7,6.556e-09
389.6,6.5999999999999995e-09
381.9,6.692e-09
384.5,6.8e-09
388.6,7e-09
380.6,7.1e-09
388.4,7.1339999999999996e-09
380.8,7.2e-09
388.7,7.267e-09
384.7,7.4e-09
382.0,7.6e-09
389.9,7.701e-09
382.4,7.8e-09
386.2,8e-09
385.5,8.2e-09
379.7,8.399999999999999e-09
387.6,8.428e-09
379.9,8.467e-09
387.7,8.535e-09
380.0,8.566e-09
383.8,8.6e-09
384.6,8.8e-09
383.2,9e-09
384.9,9.2e-09
377.3,9.384e-09
380.2,9.4e-09
388.1,9.462e-09
380.3,9.585e-09
381.4,9.6e-09
389.2,9.742e-09
390.8,9.8e-09
383.0,9.927e-09
