order,sequence,species
0,Mm_L08,mouse
1,Mm_L03,mouse
2,Mm_L02,mouse
3,Mm_WT,mouse
4,Mm_L01,mouse
5,Mm_L06,mouse
6,Mm_L07,mouse
7,Mm_L04,mouse
8,Mm_L05,mouse
9,Mm_L13,mouse
10,Mm_L14,mouse
11,Mm_L09,mouse
12,Mm_L11,mouse
13,Mm_L10,mouse
14,Mm_L12,mouse
15,Mm_L15,mouse
16,Mm_L16,mouse
17,Mm_L17,mouse
18,Mm_L18,mouse
19,Mm_L19,mouse
20,Mm_L20,mouse
21,Hs_L09,human
22,Hs_L10,human
23,Hs_L11,human
24,Hs_L18,human
25,Hs_L19,human
26,Hs_L17,human
27,Hs_L15,human
28,Hs_L16,human
29,Hs_L12,human
30,Hs_L13,human
31,Hs_L14,human
32,Ancestor,ancestor
33,Hs_WT,human
34,Hs_L01,human
35,Hs_L04,human
36,Hs_L02,human
37,Hs_L03,human
38,Hs_L05,human
39,Hs_L06,human
40,Hs_L07,human
41,Hs_L08,human
