,Mm_WT,Mm_L01,Mm_L02,Mm_L03,Mm_L04,Mm_L05,Mm_L06,Mm_L07,Mm_L08,Mm_L09,Mm_L10,Mm_L11,Mm_L12,Mm_L13,Mm_L14,Mm_L15,Mm_L16,Mm_L17,Mm_L18,Mm_L19,Mm_L20,Hs_WT,Hs_L01,Hs_L02,Hs_L03,Hs_L04,Hs_L05,Hs_L06,Hs_L07,Hs_L08,Hs_L09,Hs_L10,Hs_L11,Hs_L12,Hs_L13,Hs_L14,Hs_L15,Hs_L16,Hs_L17,Hs_L18,Hs_L19,Ancestor
Mm_WT,0.0,0.0,0.0,0.016528925619834656,0.05830063487101922,0.08330150297178862,0.12126968291523677,0.12126968291523677,0.13904888663366866,0.2199102968865816,0.27720883522167117,0.31630352762085456,0.3078628304309885,0.35284977107056603,0.3922698023296485,0.4429139854688444,0.48913501186453057,0.527544408738466,0.5907469508600535,0.6413430145943234,0.6691145560145113,0.9636363636363636,0.9090909090909091,0.8329893357193288,0.8051542250058836,0.8061611866563091,0.7612366712876593,0.7258987776565785,0.7479624436059374,0.7147401670717324,0.6628708838905067,0.6203155265330695,0.5918963331306134,0.5276225070266698,0.5801088951348177,0.5858219654898186,0.5381915737025977,0.521087557913805,0.527544408738466,0.4799294967751314,0.43305329048615915,1.0
Mm_L01,0.0,0.0,0.0,0.016528925619834656,0.05830063487101922,0.08330150297178862,0.12126968291523677,0.12126968291523677,0.13904888663366866,0.2199102968865816,0.27720883522167117,0.31630352762085456,0.3078628304309885,0.35284977107056603,0.3922698023296485,0.4429139854688444,0.48913501186453057,0.527544408738466,0.5907469508600535,0.6413430145943234,0.6691145560145113,0.9636363636363636,0.9090909090909091,0.8329893357193288,0.8051542250058836,0.8061611866563091,0.7612366712876593,0.7258987776565785,0.7479624436059374,0.7147401670717324,0.6628708838905067,0.6203155265330695,0.5918963331306134,0.5276225070266698,0.5801088951348177,0.5858219654898186,0.5381915737025977,0.521087557913805,0.527544408738466,0.4799294967751314,0.43305329048615915,1.0
Mm_L02,0.0,0.0,0.0,0.016528925619834656,0.05830063487101922,0.08330150297178862,0.12126968291523677,0.12126968291523677,0.13904888663366866,0.2199102968865816,0.27720883522167117,0.31630352762085456,0.3078628304309885,0.35284977107056603,0.3922698023296485,0.4429139854688444,0.48913501186453057,0.527544408738466,0.5907469508600535,0.6413430145943234,0.6691145560145113,0.9636363636363636,0.9090909090909091,0.8329893357193288,0.8051542250058836,0.8061611866563091,0.7612366712876593,0.7258987776565785,0.7479624436059374,0.7147401670717324,0.6628708838905067,0.6203155265330695,0.5918963331306134,0.5276225070266698,0.5801088951348177,0.5858219654898186,0.5381915737025977,0.521087557913805,0.527544408738466,0.4799294967751314,0.43305329048615915,1.0
Mm_L03,0.016528925619834656,0.016528925619834656,0.016528925619834656,0.0,0.04163338947050632,0.06663425757127572,0.10453196258981279,0.10453196258981279,0.12216749225393664,0.20331264362884938,0.2603997383663612,0.29942213324112255,0.2909814360512566,0.3360406742152561,0.37538840794991646,0.4260325910891124,0.4721061789266816,0.5103642054198647,0.5733319274923963,0.6238475518916075,0.651699532646854,0.9454545454545454,0.8909090909090909,0.8144325952436986,0.7865974845302535,0.7877003472902433,0.74287026138671,0.7076253628336837,0.7299597610063615,0.6969114275137156,0.6451272462005334,0.6026557835811193,0.5741526954406401,0.5101270443239538,0.5626134324321017,0.5685645473852277,0.521087557913805,0.5381915737025977,0.5447246120570672,0.49726518021596045,0.4502334938047604,1.0
Mm_L04,0.05830063487101922,0.05830063487101922,0.05830063487101922,0.04163338947050632,0.0,0.025210084033613467,0.06328280082101856,0.06328280082101856,0.16588947668096055,0.24685533211984934,0.3050597905527407,0.34462744596361183,0.33611611409300934,0.38133371597987886,0.4212294327990338,0.4722974240226485,0.5192025887436637,0.5582386829695364,0.622443696087172,0.6736253901846061,0.7014671085340429,0.9449980901783073,0.8899961803566147,0.81287970285872,0.7848116582875281,0.7859237501854903,0.7407185105791343,0.7051786704945162,0.709546635365474,0.72134198219756,0.6689957318549924,0.6260419581127852,0.597427241445261,0.5589532299791974,0.6118788423816937,0.6084587313331187,0.5601977228531381,0.5774448709765445,0.5842246427948578,0.5455003842822881,0.4976047767104531,1.0
Mm_L05,0.08330150297178862,0.08330150297178862,0.08330150297178862,0.06663425757127572,0.025210084033613467,0.0,0.03796611976212716,0.03796611976212716,0.1403554810691532,0.2217505098571776,0.27963514874369466,0.3190934503518045,0.3105821184812021,0.35590907417083284,0.39569543718722644,0.44676342841084116,0.49344558456921706,0.5322527231442149,0.5961025586048816,0.6471625839833579,0.6751259710517525,0.917497135267461,0.8624952254457683,0.7848116582875281,0.81287970285872,0.8138467392917307,0.7684986701599413,0.7328181701356553,0.7367766382999609,0.7483088871461832,0.6958339157586417,0.6527532468190149,0.6242654253489103,0.5854160361804455,0.6383416485829418,0.6345614825775774,0.5860684450382476,0.6033155931616541,0.6102106026201791,0.57172151595831,0.5235907365357745,1.0
Mm_L06,0.12126968291523677,0.12126968291523677,0.12126968291523677,0.10453196258981279,0.06328280082101856,0.03796611976212716,0.0,0.0,0.17945720805837062,0.26047809000190425,0.3191427717491129,0.3589509437956021,0.3504036230462101,0.3957392099273377,0.4358768305401298,0.4871607550364817,0.5344135521620632,0.5737679871084771,0.6384822677225229,0.6899618313192386,0.7178398187102617,0.8803252996732179,0.8250908225993185,0.7463194655490453,0.7745061915991514,0.7756715420794218,0.814015841455966,0.7779490473386524,0.7812388729507083,0.7923795334061908,0.7394672373391529,0.6959920220527421,0.6675961303982295,0.6279541975830862,0.654528897755723,0.6504916962940019,0.6016382731778438,0.618958348257068,0.6259596621564187,0.5874652743756996,0.5650693746004869,1.0
Mm_L07,0.12126968291523677,0.12126968291523677,0.12126968291523677,0.10453196258981279,0.06328280082101856,0.03796611976212716,0.0,0.0,0.17945720805837062,0.26047809000190425,0.3191427717491129,0.3589509437956021,0.3504036230462101,0.3957392099273377,0.4358768305401298,0.4871607550364817,0.5344135521620632,0.5737679871084771,0.6384822677225229,0.6899618313192386,0.7178398187102617,0.8803252996732179,0.8250908225993185,0.7463194655490453,0.7745061915991514,0.7756715420794218,0.814015841455966,0.7779490473386524,0.7812388729507083,0.7923795334061908,0.7394672373391529,0.6959920220527421,0.6675961303982295,0.6279541975830862,0.654528897755723,0.6504916962940019,0.6016382731778438,0.618958348257068,0.6259596621564187,0.5874652743756996,0.5650693746004869,1.0
Mm_L08,0.13904888663366866,0.13904888663366866,0.13904888663366866,0.12216749225393664,0.16588947668096055,0.1403554810691532,0.17945720805837062,0.17945720805837062,0.0,0.08461427011190592,0.14162299562565872,0.18103448275862066,0.1724137931034483,0.2188769260193495,0.2586206896551724,0.31034482758620685,0.35649740965008236,0.394643674528648,0.45751517835551625,0.508615088199344,0.5375539225325713,0.9535761654557371,0.8978675640026215,0.8199517146500105,0.8483803912842194,0.8397367079239288,0.7936613197918645,0.7573799119191298,0.6874281691750082,0.6358214796353852,0.5831937836316688,0.540073695473595,0.5107057460023938,0.5622207149412337,0.6158263416831236,0.6210534377398669,0.57201567452748,0.5894844225059503,0.596429116352432,0.5396607493322678,0.5788825561938422,1.0
Mm_L09,0.2199102968865816,0.2199102968865816,0.2199102968865816,0.20331264362884938,0.24685533211984934,0.2217505098571776,0.26047809000190425,0.26047809000190425,0.08461427011190592,0.0,0.0547765907219111,0.09309006390716601,0.08461427011190592,0.1307320432531861,0.16937220806450726,0.22022697083606801,0.2647155143389729,0.3013086211658663,0.36170860718581455,0.4114649910242183,0.4404020665738648,0.8448119420402029,0.7900396862896863,0.8975135510312596,0.925464400750007,0.9165808002519927,0.8709005551264194,0.8348554352310459,0.7649920040297892,0.7135540503842268,0.6614690935775958,0.6187367901040991,0.590199429067616,0.6398517109252679,0.6925563385947409,0.6967394404691455,0.6479097393814778,0.665084874045796,0.6722188593123817,0.6170291568974647,0.6549672203288228,1.0
