index,species,in_heatmap
0,ancestor,True
1,human,False
2,human,False
3,human,True
4,human,False
5,human,False
6,human,False
7,human,False
8,human,True
9,human,False
10,human,False
11,human,False
12,human,False
13,human,False
14,human,False
15,human,False
16,human,False
17,human,False
18,human,False
19,human,False
20,human,False
21,human,False
22,human,False
23,human,False
24,human,False
25,human,False
26,human,False
27,human,False
28,human,False
29,human,False
30,human,False
31,human,True
32,human,False
33,human,False
34,human,False
35,human,False
36,human,False
37,human,False
38,human,False
39,human,False
40,human,False
41,human,False
42,human,False
43,human,False
44,human,False
45,human,True
46,human,False
47,human,False
48,human,False
49,human,False
50,human,False
51,human,False
52,human,False
53,human,False
54,human,False
55,human,False
56,human,False
57,human,False
58,human,False
59,human,False
60,human,False
61,human,True
62,human,False
63,human,False
64,human,False
65,human,False
66,human,False
67,human,False
68,human,False
69,human,False
70,human,False
71,human,False
72,human,False
73,human,False
74,human,False
75,human,False
76,human,False
77,human,False
78,human,False
79,human,False
80,human,False
81,human,False
82,human,False
83,human,False
84,human,False
85,human,False
86,human,False
87,human,False
88,human,False
89,human,False
90,human,False
91,human,False
92,human,False
93,human,False
94,human,False
95,human,False
96,human,False
97,human,False
98,human,True
99,human,False
100,human,False
101,human,False
102,human,True
103,human,False
104,human,False
105,human,False
106,human,True
107,human,False
108,human,False
109,human,False
110,human,False
111,human,False
112,human,False
113,human,False
114,human,False
115,human,False
116,human,False
117,human,True
118,human,False
119,human,False
120,human,False
121,human,True
122,human,False
123,human,False
124,human,False
125,human,False
126,human,False
127,human,False
128,human,False
129,human,True
130,human,False
131,human,False
132,human,False
133,human,False
134,human,False
135,human,False
136,human,False
137,human,False
138,human,False
139,human,False
140,human,False
141,human,True
142,human,False
143,human,False
144,human,False
145,human,False
146,human,False
147,human,False
148,human,False
149,human,False
150,human,False
151,human,False
152,human,False
153,human,False
154,human,False
155,human,False
156,human,False
157,human,False
158,human,False
159,human,False
160,human,False
161,human,False
162,human,False
163,human,False
164,human,True
165,human,False
166,human,False
167,human,False
168,human,False
169,human,True
170,human,True
171,human,True
172,human,False
173,human,True
174,human,False
175,human,False
176,human,False
177,human,False
178,human,False
179,human,False
180,human,False
181,human,True
182,human,False
183,human,False
184,human,False
185,human,False
186,human,False
187,human,False
188,human,True
189,human,False
190,human,True
191,human,False
192,human,False
193,human,False
194,human,False
195,human,True
196,human,False
197,human,False
198,human,False
199,human,True
200,human,False
201,human,False
202,human,False
203,human,False
204,human,False
205,human,False
206,human,False
207,human,False
208,human,False
209,human,False
210,human,False
211,human,False
212,human,False
213,human,True
214,human,True
215,human,False
