GPX6_level01_chainA,GPX6_level02_chainA,GPX6_level03_chainA,GPX6_level04_chainA,GPX6_level05_chainA,GPX6_level06_chainA,GPX6_level07_chainA,GPX6_level08_chainA,GPX6_level09_chainA,GPX6_level10_chainA,GPX6_level11_chainA,GPX6_level12_chainA,GPX6_level13_chainA,GPX6_level14_chainA,GPX6_level15_chainA,GPX6_level16_chainA,GPX6_level17_chainA,GPX6_level18_chainA,GPX6_level19_chainA,GPX6_level01_chainA_2,GPX6_level02_chainA_2,GPX6_level03_chainA_2,GPX6_level04_chainA_2,GPX6_level05_chainA_2,GPX6_level06_chainA_2,GPX6_level07_chainA_2,GPX6_level08_chainA_2,GPX6_level09_chainA_2,GPX6_level10_chainA_2,GPX6_level11_chainA_2,GPX6_level12_chainA_2,GPX6_level13_chainA_2,GPX6_level14_chainA_2,GPX6_level15_chainA_2,GPX6_level16_chainA_2,GPX6_level17_chainA_2,GPX6_level18_chainA_2,GPX6_level19_chainA_2,GPX6_level20_chainA,Homo_sapiens,Mus_musculus,Callithrix_jacchus,Saimiri_boliviensis,Cavia_porcellus,Sus_scrofa,Equus_caballus,Tarsius_syrichta,Pan_troglodytes,Oryctolagus_cuniculus,Mesocricetus_auratus,Macaca_mulatta,Jaculus_jaculus,Ictidomys_tridecemlineatus,Felis_catus,Cricetulus_griseus,Bos_taurus,Rattus_norvegicus,Loxodonta_africana,Odobenus_rosmarus,Otolemur_garnettii,Dipodomys_ordii,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43
0.000000,0.004605,0.009807,0.015007,0.019905,0.025981,0.031458,0.036938,0.042117,0.047010,0.053045,0.058527,0.064543,0.069977,0.074271,0.079744,0.079744,0.084898,0.090316,0.215665,0.215665,0.211308,0.213025,0.208373,0.213914,0.208495,0.207997,0.207997,0.206917,0.212991,0.208154,0.212760,0.207627,0.213117,0.207750,0.202672,0.196758,0.191313,0.196165,0.005565,0.222092,0.124496,0.131806,0.156019,0.115588,0.118210,0.100874,0.018179,0.209536,0.210624,0.044175,0.147542,0.110231,0.154481,0.215136,0.113939,0.210975,0.138262,0.140995,0.159992,0.143980,0.092736,0.088693,0.071463,0.055505,0.056652,0.033940,0.028404,0.010823,0.109366,0.071463,0.076658,0.081950,0.088009,0.175549,0.207400,0.193750,0.076658,0.088693,0.088693,0.099747,0.097350
0.004605,0.000000,0.005204,0.010404,0.015303,0.021382,0.026860,0.032341,0.037522,0.042415,0.048452,0.053934,0.059953,0.065388,0.069682,0.075156,0.075156,0.080310,0.085730,0.211012,0.211012,0.206656,0.208373,0.213025,0.218566,0.213149,0.212626,0.212626,0.211522,0.217596,0.212760,0.217365,0.212234,0.217723,0.212358,0.207282,0.201371,0.195926,0.200778,0.010219,0.217468,0.119853,0.131505,0.155720,0.115290,0.117911,0.100573,0.017876,0.209241,0.205989,0.043872,0.147243,0.109931,0.149843,0.210503,0.113640,0.206344,0.137964,0.140696,0.159691,0.143677,0.092436,0.088393,0.071163,0.055204,0.056352,0.033638,0.028101,0.010520,0.109066,0.071163,0.076359,0.081650,0.087710,0.170919,0.202775,0.189116,0.076359,0.088393,0.088393,0.099448,0.097050
0.009807,0.005204,0.000000,0.005202,0.010102,0.016186,0.021667,0.027149,0.032331,0.037224,0.043266,0.048748,0.054771,0.060210,0.064503,0.069977,0.069977,0.075133,0.080556,0.206359,0.206359,0.202003,0.203722,0.208373,0.213914,0.208495,0.207407,0.207407,0.206329,0.212403,0.207566,0.212171,0.207038,0.212528,0.207160,0.202080,0.196165,0.190719,0.195572,0.015477,0.212257,0.120153,0.131806,0.155422,0.115588,0.117612,0.105808,0.023122,0.208945,0.200761,0.049113,0.146944,0.109632,0.149246,0.205278,0.118843,0.201122,0.143159,0.145890,0.159389,0.143374,0.097649,0.093606,0.076382,0.060434,0.061576,0.038879,0.033347,0.015775,0.109366,0.076382,0.076658,0.081350,0.087410,0.165698,0.197562,0.183887,0.076658,0.093606,0.093606,0.104656,0.102261
0.015007,0.010404,0.005202,0.000000,0.004901,0.010989,0.016474,0.021958,0.027141,0.032034,0.038080,0.043562,0.049589,0.055031,0.059325,0.064798,0.064798,0.069956,0.075381,0.201114,0.201114,0.196757,0.198477,0.203129,0.208670,0.203248,0.202187,0.202187,0.201137,0.207211,0.202372,0.206977,0.201843,0.207332,0.201961,0.196879,0.190960,0.185512,0.190367,0.020731,0.207046,0.125357,0.137029,0.160610,0.120784,0.122813,0.111040,0.028365,0.208945,0.195532,0.054352,0.152138,0.114837,0.154435,0.200052,0.124044,0.195899,0.148352,0.151081,0.164634,0.148630,0.102860,0.098817,0.081599,0.065661,0.066798,0.044117,0.038590,0.021028,0.114574,0.081599,0.081873,0.086566,0.092620,0.160477,0.192350,0.178659,0.081873,0.098817,0.098817,0.109861,0.107469
0.019905,0.015303,0.010102,0.004901,0.000000,0.006092,0.011578,0.017063,0.022248,0.027141,0.033191,0.038673,0.044704,0.050147,0.054441,0.059915,0.059915,0.065073,0.070501,0.196164,0.196164,0.191808,0.193529,0.198181,0.203722,0.198298,0.197263,0.197263,0.196238,0.202312,0.207211,0.211816,0.206683,0.212171,0.206804,0.201726,0.195811,0.190367,0.195219,0.025679,0.202129,0.130259,0.141949,0.165497,0.125680,0.127712,0.115969,0.033303,0.213807,0.190601,0.059285,0.157031,0.119741,0.159323,0.195123,0.128944,0.200768,0.153243,0.155972,0.169575,0.153581,0.107768,0.103725,0.086513,0.070585,0.071717,0.049051,0.043528,0.025975,0.119479,0.086513,0.086785,0.091481,0.097529,0.155551,0.187431,0.173727,0.086785,0.103725,0.103725,0.114765,0.112375
0.025981,0.021382,0.016186,0.010989,0.006092,0.000000,0.005491,0.010979,0.016166,0.021059,0.027115,0.032598,0.038635,0.044084,0.048378,0.053851,0.053851,0.059012,0.064444,0.190029,0.190029,0.185673,0.187397,0.192049,0.197589,0.192160,0.191157,0.191157,0.190164,0.196238,0.201137,0.205742,0.200607,0.206095,0.200723,0.195640,0.201726,0.196288,0.201135,0.031816,0.196037,0.136269,0.147974,0.159370,0.131679,0.121583,0.122017,0.039416,0.207702,0.191676,0.065381,0.150902,0.125758,0.153199,0.196195,0.134952,0.194660,0.159230,0.157317,0.175616,0.159644,0.113798,0.109757,0.092563,0.076658,0.077780,0.055151,0.049638,0.032108,0.125499,0.092563,0.092832,0.097529,0.091398,0.149443,0.181337,0.174814,0.092832,0.109757,0.109757,0.120784,0.118401
0.031458,0.026860,0.021667,0.016474,0.011578,0.005491,0.000000,0.005489,0.010678,0.015571,0.021633,0.027115,0.033158,0.038610,0.042904,0.048378,0.048378,0.053540,0.058976,0.184487,0.184487,0.180131,0.181856,0.186508,0.192049,0.186617,0.185642,0.185642,0.184678,0.190752,0.195650,0.200255,0.195119,0.200607,0.195232,0.190145,0.196231,0.190791,0.195640,0.037348,0.190532,0.141715,0.153436,0.164804,0.137117,0.127042,0.127495,0.044932,0.213092,0.197083,0.070885,0.152009,0.131209,0.158636,0.201596,0.140396,0.200063,0.164659,0.162745,0.181096,0.165141,0.119258,0.115217,0.098034,0.082146,0.083260,0.060657,0.055151,0.037638,0.130952,0.098034,0.098301,0.103000,0.096873,0.154869,0.175831,0.180231,0.098301,0.115217,0.115217,0.126235,0.123856
0.036938,0.032341,0.027149,0.021958,0.017063,0.010979,0.005489,0.000000,0.005190,0.010083,0.016151,0.021633,0.027681,0.033137,0.037430,0.042904,0.042904,0.048068,0.053508,0.178945,0.178945,0.174589,0.176316,0.180968,0.186508,0.181073,0.180127,0.180127,0.179191,0.185265,0.190164,0.194769,0.189631,0.195119,0.189740,0.184650,0.190735,0.196231,0.201076,0.042885,0.185028,0.147200,0.158941,0.170281,0.142592,0.132532,0.133009,0.050456,0.218540,0.202542,0.076406,0.157493,0.136695,0.164114,0.207051,0.145877,0.194550,0.170132,0.168217,0.186624,0.170680,0.124748,0.120708,0.103531,0.087654,0.088762,0.066177,0.060676,0.043173,0.136440,0.103531,0.103796,0.108497,0.102373,0.160335,0.170325,0.185696,0.103796,0.120708,0.120708,0.131721,0.129345
0.042117,0.037522,0.032331,0.027141,0.022248,0.016166,0.010678,0.005190,0.000000,0.004893,0.010965,0.016447,0.022500,0.027958,0.032252,0.037725,0.037725,0.042891,0.048333,0.173699,0.173699,0.169343,0.171072,0.175724,0.181264,0.175826,0.174907,0.174907,0.173999,0.180073,0.184971,0.189576,0.194769,0.200255,0.194881,0.189795,0.195878,0.201371,0.206215,0.048119,0.179817,0.141969,0.153686,0.165053,0.137370,0.127302,0.138221,0.055678,0.213324,0.197320,0.081624,0.152263,0.131465,0.158887,0.201833,0.140650,0.189332,0.164908,0.162991,0.191849,0.165393,0.119518,0.115478,0.098301,0.092861,0.093963,0.071395,0.065899,0.048405,0.131209,0.098301,0.098568,0.103266,0.097142,0.155118,0.165112,0.180475,0.098568,0.115478,0.115478,0.126492,0.124116
0.047010,0.042415,0.037224,0.032034,0.027141,0.021059,0.015571,0.010083,0.004893,0.000000,0.006078,0.011562,0.017620,0.023083,0.027377,0.032852,0.032852,0.038020,0.043467,0.168798,0.168798,0.164441,0.166173,0.170825,0.176367,0.170925,0.170032,0.170032,0.169149,0.175225,0.180125,0.184731,0.189925,0.195413,0.190035,0.184945,0.191031,0.196526,0.201371,0.053064,0.174950,0.146903,0.158643,0.169984,0.142297,0.132235,0.143177,0.060618,0.218245,0.192452,0.086566,0.157195,0.136398,0.163817,0.196967,0.145580,0.184461,0.169835,0.167920,0.196830,0.160454,0.124451,0.120410,0.103234,0.097797,0.098896,0.076335,0.070841,0.053349,0.136142,0.103234,0.103499,0.108200,0.102075,0.150241,0.160241,0.175600,0.103499,0.120410,0.120410,0.131424,0.129047
