rank,sequence_id,identity_percent,matches,differences,valid_positions,sequence_length,alignment_score
1,GPX6_level03_chainA,80.65,150,36,186,188,243
2,GPX6_level04_chainA,80.65,150,36,186,188,243
3,GPX6_level05_chainA,80.65,150,36,186,188,243
4,GPX6_level02_chainA,80.11,149,37,186,188,240
5,GPX6_level06_chainA,80.11,149,37,186,188,240
6,GPX6_level12_chainA,79.89,151,38,189,191,249
7,GPX6_level01_chainA,79.68,149,38,187,188,240
8,GPX6_level08_chainA,79.68,149,38,187,189,241
9,GPX6_level07_chainA,79.57,148,38,186,188,237
10,GPX6_level11_chainA,79.37,150,39,189,191,246
11,GPX6_level13_chainA,79.37,150,39,189,191,246
12,GPX6_level09_chainA,79.26,149,39,188,190,242
13,GPX6_level10_chainA,78.84,149,40,189,191,243
14,GPX6_level14_chainA,78.84,149,40,189,191,243
15,GPX6_level15_chainA,78.31,148,41,189,191,240
16,GPX6_level16_chainA,77.78,147,42,189,191,237
17,GPX6_level17_chainA,77.25,146,43,189,191,234
18,GPX6_level19_chainA,77.25,146,43,189,191,234
19,GPX6_level18_chainA,76.72,145,44,189,191,231
20,GPX6_level20_chainA,76.72,145,44,189,191,231
